Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/18/2024,"AMAZON MKTPL*Z15716X Amzn.com/bill WA        12/18",-18.99,DEBIT_CARD,3889.73,,
DEBIT,12/18/2024,"AMAZON MKTPL*Z11OD7X Amzn.com/bill WA        12/18",-49.20,DEBIT_CARD,3908.72,,
DEBIT,12/18/2024,"KOHL'S #1178 CARMEL IN                       12/17",-138.73,DEBIT_CARD,3957.92,,
DEBIT,12/18/2024,"MCDONALD'S F2614 INDIANAPOLIS IN             12/17",-12.19,DEBIT_CARD,4096.65,,
DEBIT,12/18/2024,"AMAZON MKTPL*Z15ZT77 Amzn.com/bill WA        12/18",-22.35,DEBIT_CARD,4108.84,,
DEBIT,12/18/2024,"CHICK-FIL-A #04978 CARMEL IN                 12/16",-23.96,DEBIT_CARD,4131.19,,
DEBIT,12/17/2024,"PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77",-7.00,ACH_DEBIT,4155.15,,
DEBIT,12/17/2024,"PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77",-28.31,ACH_DEBIT,4162.15,,
DEBIT,12/17/2024,"PADDLE.NET* CLIPDROP PADDLE.COM NY           12/17",-9.00,DEBIT_CARD,4190.46,,
DEBIT,12/17/2024,"TST*DANNY BOY BEER WORK Carmel IN            12/16",-29.74,DEBIT_CARD,4199.46,,
DEBIT,12/17/2024,"UBER   *EATS HELP.UBER.COM CA                12/16",-19.64,DEBIT_CARD,4229.20,,
CREDIT,12/17/2024,"WW Grainger Inc  EDI PYMNTS 2011552790      CTX ID: 3361150280",1025.76,ACH_CREDIT,4248.84,,
DEBIT,12/16/2024,"AffirmCard       564G AFFRM                 PPD ID: 1842224323",-85.00,MISC_DEBIT,3223.08,,
DEBIT,12/16/2024,"Online Transfer to CHK ...9516 transaction#: 23069340717 12/16",-13000.00,ACCT_XFER,3308.08,,
DEBIT,12/16/2024,"Online Payment 22720351578 To Richard Crone 12/16",-250.00,BILLPAY,16308.08,,
DEBIT,12/16/2024,"APPLE.COM/BILL 866-712-7753 CA               12/16",-3.20,DEBIT_CARD,16558.08,,
DEBIT,12/16/2024,"PAYPAL           INST XFER  GOOGLE GOOGLE O WEB ID: PAYPALSI77",-9.99,ACH_DEBIT,16561.28,,
DEBIT,12/16/2024,"PAYPAL           INST XFER  NETFLIX.COM     WEB ID: PAYPALSI77",-22.99,ACH_DEBIT,16571.27,,
DEBIT,12/16/2024,"APPLE.COM/BILL 866-712-7753 CA               12/16",-26.74,DEBIT_CARD,16594.26,,
DEBIT,12/16/2024,"SP DETAIL GEEK AUTO REGINA SK                12/15",-110.00,DEBIT_CARD,16621.00,,
DEBIT,12/16/2024,"MCDONALD'S F2657 NOBLESVILLE IN              12/15",-17.81,DEBIT_CARD,16731.00,,
DEBIT,12/16/2024,"APPLE.COM/BILL 866-712-7753 CA               12/14",-32.09,DEBIT_CARD,16748.81,,
DEBIT,12/16/2024,"CHICK-FIL-A #04978 CARMEL IN                 12/14",-18.46,DEBIT_CARD,16780.90,,
DEBIT,12/16/2024,"STARBUCKS 800-782-728 800-782-7282 WA        12/14",-20.00,DEBIT_CARD,16799.36,,
DEBIT,12/16/2024,"SP PENDULUM THERAPEU HTTPSPENDULUM CA        12/14",-71.69,DEBIT_CARD,16819.36,,
DEBIT,12/16/2024,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102002505",-1111.95,ACH_DEBIT,16891.05,,
DEBIT,12/16/2024,"ACT*Carmel Clay Parks 317-8487275 IN         12/14",-32.00,DEBIT_CARD,18003.00,,
DEBIT,12/16/2024,"SQ *MY SUGAR PIE Zionsville IN               12/13",-35.87,DEBIT_CARD,18035.00,,
DEBIT,12/16/2024,"MAYO CLINIC DIET DIET.MAYOCLIN NY            12/13",-19.99,DEBIT_CARD,18070.87,,
DEBIT,12/16/2024,"ZING! CAFE  LLC CARMEL IN                    12/13",-13.27,DEBIT_CARD,18090.86,,
DEBIT,12/16/2024,"CHICK-FIL-A #04978 CARMEL IN                 12/13",-15.63,DEBIT_CARD,18104.13,,
DEBIT,12/16/2024,"CHICK-FIL-A #04978 CARMEL IN                 12/12",-13.18,DEBIT_CARD,18119.76,,
CREDIT,12/16/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1.18,ACH_CREDIT,18132.94,,
DEBIT,12/13/2024,"Online Transfer to CHK ...9516 transaction#: 23043059987 12/13",-1000.00,ACCT_XFER,18131.76,,
DEBIT,12/13/2024,"TST*SAHMS ALE HOUSE VIL Fishers IN           12/12",-23.59,DEBIT_CARD,19131.76,,
DEBIT,12/13/2024,"STARBUCKS 800-782-728 800-782-7282 WA        12/12",-20.00,DEBIT_CARD,19155.35,,
DEBIT,12/13/2024,"CHICK-FIL-A #04978 CARMEL IN                 12/11",-10.02,DEBIT_CARD,19175.35,,
CREDIT,12/13/2024,"GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101",5190.14,ACH_CREDIT,19185.37,,
DEBIT,12/12/2024,"OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA        12/12",-20.00,DEBIT_CARD,13995.23,,
DEBIT,12/12/2024,"AMAZON MKTPL*ZX4MG5Y Amzn.com/bill WA        12/12",-19.25,DEBIT_CARD,14015.23,,
DEBIT,12/12/2024,"APPLE.COM/BILL 866-712-7753 CA               12/12",-10.69,DEBIT_CARD,14034.48,,
DEBIT,12/12/2024,"SP MYPAUME.COM TORONTO ON                    12/11",-83.52,DEBIT_CARD,14045.17,,
DEBIT,12/12/2024,"ARAMARK IU NORTH COFFEE CARMEL IN            12/11",-3.58,DEBIT_CARD,14128.69,,
DEBIT,12/12/2024,"CHICK-FIL-A #01939 CARMEL IN                 12/10",-19.55,DEBIT_CARD,14132.27,,
DEBIT,12/12/2024,"Nyx*NAYAX VENDING 50 HUNT VALLEY MD          12/10",-1.50,DEBIT_CARD,14151.82,,
DEBIT,12/12/2024,"Amazon.com*ZX2QR9U12 Amzn.com/bill WA        12/11",-89.47,DEBIT_CARD,14153.32,,
DEBIT,12/11/2024,"PAYPAL           INST XFER  FARMERSFRID     WEB ID: PAYPALSI77",-42.31,ACH_DEBIT,14242.79,,
DEBIT,12/11/2024,"WHO GIVES A CRAP, IN US.WHOGIVESAC NY        12/11",-72.76,DEBIT_CARD,14285.10,,
DEBIT,12/10/2024,"Online Transfer to CHK ...9516 transaction#: 23003429337 12/10",-200.00,ACCT_XFER,14357.86,,
DEBIT,12/10/2024,"Online Transfer to CHK ...9516 transaction#: 23003405877 12/10",-700.00,ACCT_XFER,14557.86,,
CREDIT,12/10/2024,"IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158",290.00,ACH_CREDIT,15257.86,,
CREDIT,12/10/2024,"BRB UPL          LOAN                       PPD ID: 9088597265",13501.50,MISC_CREDIT,14967.86,,
DEBIT,12/09/2024,"AffirmCard       5649 AFFRM                 PPD ID: 1842224323",-35.00,MISC_DEBIT,1466.36,,
DEBIT,12/09/2024,"Experian* Credit Repor 479-3436237 CA        12/09",-24.99,DEBIT_CARD,1501.36,,
DEBIT,12/09/2024,"AMAZON MKTPL*ZX04S3N Amzn.com/bill WA        12/09",-29.95,DEBIT_CARD,1526.35,,
DEBIT,12/09/2024,"AMC 4259 PLAINFIELD 18 PLAINFIELD IN         12/07",-23.94,DEBIT_CARD,1556.30,,
DEBIT,12/09/2024,"AMAZON MKTPL*ZR4C29R Amzn.com/bill WA        12/08",-12.83,DEBIT_CARD,1580.24,,
DEBIT,12/09/2024,"CHICK-FIL-A #01939 CARMEL IN                 12/07",-22.12,DEBIT_CARD,1593.07,,
DEBIT,12/09/2024,"AMC 9640 ONLINE 888-440-4262 KS              12/08",-72.93,DEBIT_CARD,1615.19,,
DEBIT,12/09/2024,"APPLE.COM/BILL 866-712-7753 CA               12/08",-8.99,DEBIT_CARD,1688.12,,
DEBIT,12/09/2024,"TST*SAHMS ALE HOUSE VIL Fishers IN           12/06",-21.24,DEBIT_CARD,1697.11,,
DEBIT,12/09/2024,"TST* CAFE PATACHOU CLAY CARMEL IN            12/06",-27.25,DEBIT_CARD,1718.35,,
DEBIT,12/09/2024,"ZING! CAFE  LLC CARMEL IN                    12/06",-5.50,DEBIT_CARD,1745.60,,
DEBIT,12/09/2024,"APPLE.COM/BILL 866-712-7753 CA               12/07",-21.39,DEBIT_CARD,1751.10,,
DEBIT,12/06/2024,"BUSINESSOLVER BE 8775476257                 PPD ID: 1421503807",-1115.03,ACH_DEBIT,1772.49,,
DEBIT,12/06/2024,"AES PLUS AES.COM VA                          12/06",-96.60,DEBIT_CARD,2887.52,,
DEBIT,12/06/2024,"SQ *WESTFIELD WINE VAUL Westfield IN         12/05",-24.52,DEBIT_CARD,2984.12,,
DEBIT,12/06/2024,"DD *DOORDASH BUBSBURG 855-431-0459 CA        12/06",-33.82,DEBIT_CARD,3008.64,,
DEBIT,12/06/2024,"WEST CLAY WINE & SPIRIT CARMEL IN            12/05",-32.09,DEBIT_CARD,3042.46,,
DEBIT,12/06/2024,"TST*SAHMS ALE HOUSE V 317-430-3292 IN        12/06",-17.70,DEBIT_CARD,3074.55,,
DEBIT,12/06/2024,"MCDONALD'S F33737 MOORESVILLE IN             12/05",-7.42,DEBIT_CARD,3092.25,,
DEBIT,12/05/2024,"VENMO            REPAYMENT  1038704330848   WEB ID: 3364681992",-1670.92,ACH_DEBIT,3099.67,,
DEBIT,12/05/2024,"FSP*URBAN SOCIETY SALON CARMEL IN            12/04",-340.72,DEBIT_CARD,4770.59,,
DEBIT,12/05/2024,"ZING! CAFE  LLC CARMEL IN                    12/04",-7.32,DEBIT_CARD,5111.31,,
DEBIT,12/04/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-21.99,ACH_DEBIT,5118.63,,
DEBIT,12/04/2024,"AffirmCard       5644 AFFRM                 PPD ID: 1842224323",-239.10,MISC_DEBIT,5140.62,,
DEBIT,12/04/2024,"PAYPAL           INST XFER  LLBEANINC       WEB ID: PAYPALSI77",-180.99,ACH_DEBIT,5379.72,,
DEBIT,12/04/2024,"AMAZON MKTPL*ZL6QM4E Amzn.com/bill WA        12/04",-33.53,DEBIT_CARD,5560.71,,
DEBIT,12/04/2024,"DD *DOORDASH PAPAJOHN 855-431-0459 CA        12/04",-45.04,DEBIT_CARD,5594.24,,
DEBIT,12/04/2024,"TST*CAFE PATACHOU-ZIONS Zionsville IN        12/03",-28.14,DEBIT_CARD,5639.28,,
DEBIT,12/04/2024,"ZING! CAFE  LLC CARMEL IN                    12/03",-7.32,DEBIT_CARD,5667.42,,
DEBIT,12/03/2024,"PAYPAL           INST XFER  PPCR CC REPAYME WEB ID: PAYPALSI77",-90.00,ACH_DEBIT,5674.74,,
DEBIT,12/03/2024,"PARAMOUNT+ 888-274-5343 CA                   12/03",-12.99,DEBIT_CARD,5764.74,,
DEBIT,12/03/2024,"TST*SAHMS ALE HOUSE VIL Fishers IN           12/02",-38.25,DEBIT_CARD,5777.73,,
DEBIT,12/03/2024,"AD CREA* AD CREA ENTER PARIS                 12/02",-29.00,DEBIT_CARD,5815.98,,
DEBIT,12/03/2024,"BLAZE PIZZA 1026 - EC 317-993-3535 IN        12/02",-16.71,DEBIT_CARD,5844.98,,
DEBIT,12/03/2024,"MEIJER # 130 CARMEL IN                       12/02",-40.85,DEBIT_CARD,5861.69,,
DEBIT,12/03/2024,"Amazon web services aws.amazon.co WA         12/02",-12.75,DEBIT_CARD,5902.54,,
DEBIT,12/03/2024,"DD *DOORDASH TROPICAL 855-431-0459 CA        12/03",-11.91,DEBIT_CARD,5915.29,,
DEBIT,12/03/2024,"ZING! CAFE  LLC CARMEL IN                    12/02",-19.56,DEBIT_CARD,5927.20,,
DEBIT,12/03/2024,"SUPERPROF* PASSELEVE PARIS - FRANC           12/02",-49.00,DEBIT_CARD,5946.76,,
DEBIT,12/03/2024,"APPLE.COM/BILL 866-712-7753 CA               12/03",-25.66,DEBIT_CARD,5995.76,,
CREDIT,12/03/2024,"IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158",162.00,ACH_CREDIT,6021.42,,
CREDIT,12/03/2024,"IN CHILD SUPPORT IN18000         0007886214 CCD ID: 1356000158",452.00,ACH_CREDIT,5859.42,,
DEBIT,12/02/2024,"Online Transfer to CHK ...9516 transaction#: 22914592281 12/02",-500.00,ACCT_XFER,5407.42,,
DEBIT,12/02/2024,"AffirmCard       5642 AFFRM                 PPD ID: 1842224323",-30.00,MISC_DEBIT,5907.42,,
DEBIT,12/02/2024,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-29.99,ACH_DEBIT,5937.42,,
DEBIT,12/02/2024,"JETPACK PDZAEF206J HTTPSWORDPRES CA          12/01",-14.95,DEBIT_CARD,5967.41,,
DEBIT,12/02/2024,"STARBUCKS 800-782-728 800-782-7282 WA        12/01",-20.00,DEBIT_CARD,5982.36,,
DEBIT,12/02/2024,"TACO BELL 29694 PLAINFIELD IN                11/30",-17.06,DEBIT_CARD,6002.36,,
DEBIT,12/02/2024,"Online Transfer to CHK ...9516 transaction#: 22888824954 12/02",-100.00,ACCT_XFER,6019.42,,
DEBIT,12/02/2024,"BETTER BODIES WC MEMBER PAY                 PPD ID: 1270559068",-54.00,ACH_DEBIT,6119.42,,
DEBIT,12/02/2024,"SPOT & TANGO WWW.SPOTANDTA NY                11/30",-228.48,DEBIT_CARD,6173.42,,
DEBIT,12/02/2024,"APPLE.COM/BILL 866-712-7753 CA               11/30",-38.35,DEBIT_CARD,6401.90,,
DEBIT,12/02/2024,"SP VINEVIDA VINEVIDA.COM FL                  11/29",-68.17,DEBIT_CARD,6440.25,,
DEBIT,12/02/2024,"SP DETAIL GEEK AUTO REGINA SK                11/29",-165.00,DEBIT_CARD,6508.42,,
DEBIT,12/02/2024,"MCDONALD'S F33737 MOORESVILLE IN             11/29",-21.95,DEBIT_CARD,6673.42,,
DEBIT,11/29/2024,"PELOTON* MEMBERSHIP HTTPSWWW.ONEP NY         11/28",-44.00,DEBIT_CARD,6695.37,,
DEBIT,11/29/2024,"SP LASHIFY INC LASHIFY.COM CA                11/28",-53.50,DEBIT_CARD,6739.37,,
DEBIT,11/29/2024,"Disney Plus 888-9057888 CA                   11/28",-12.00,DEBIT_CARD,6792.87,,
DEBIT,11/29/2024,"CHICK-FIL-A #01939 CARMEL IN                 11/27",-21.68,DEBIT_CARD,6804.87,,
DEBIT,11/29/2024,"AMAZON MKTPL*Z36397G Amzn.com/bill WA        11/27",-11.33,DEBIT_CARD,6826.55,,
DEBIT,11/29/2024,"Amazon.com*Z34EL9XV0 Amzn.com/bill WA        11/27",-261.59,DEBIT_CARD,6837.88,,
CREDIT,11/29/2024,"GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101",5097.83,ACH_CREDIT,7099.47,,
DEBIT,11/27/2024,"PAYPAL           INST XFER  PARKMOBILE      WEB ID: PAYPALSI77",-3.85,ACH_DEBIT,2001.64,,
DEBIT,11/27/2024,"Online Transfer to CHK ...9516 transaction#: 22858209263 11/27",-20.00,ACCT_XFER,2005.49,,
DEBIT,11/27/2024,"PAYPAL           INST XFER  GOOGLE YOUTUBE  WEB ID: PAYPALSI77",-22.99,ACH_DEBIT,2025.49,,
DEBIT,11/27/2024,"WHOLEFDS MKS#105 320 INDIANAPOLIS IN 746170  11/27",-5.57,DEBIT_CARD,2048.48,,
DEBIT,11/27/2024,"WHOLEFDS CRL 104 14598 CARMEL IN     426536  11/27",-171.41,DEBIT_CARD,2054.05,,
DEBIT,11/27/2024,"PROG PALOVERDE   INS PREM   905147028 Krist WEB ID: 9409348039",-393.64,ACH_DEBIT,2225.46,,
DEBIT,11/27/2024,"VENMO            PAYMENT    1038517740412   WEB ID: 3264681992",-110.00,MISC_DEBIT,2619.10,,
DEBIT,11/27/2024,"Online Payment 22521146389 To Auto Loan 1101 11/27",-2000.00,LOAN_PMT,2729.10,,
DEBIT,11/27/2024,"Credit One Bank  Payment    53394349        WEB ID: WEB000004",-10.54,ACH_DEBIT,4729.10,,
DEBIT,11/27/2024,"FLOW WATER USA FLOWHYDRATION VA              11/27",-68.37,DEBIT_CARD,4739.64,,
DEBIT,11/27/2024,"MOON BOOT Los Angeles CA                     11/27",-255.00,DEBIT_CARD,4808.01,,
DEBIT,11/27/2024,"DD *DOORDASH TROPICAL 855-431-0459 CA        11/27",-23.82,DEBIT_CARD,5063.01,,
DEBIT,11/27/2024,"CHICK-FIL-A #04978 CARMEL IN                 11/25",-21.51,DEBIT_CARD,5086.83,,
DEBIT,11/27/2024,"AMAZON MKTPL*LP0SX5J Amzn.com/bill WA        11/26",-204.02,DEBIT_CARD,5108.34,,
DEBIT,11/27/2024,"AMAZON MKTPL*IJ5C15Q Amzn.com/bill WA        11/27",-144.92,DEBIT_CARD,5312.36,,
DEBIT,11/26/2024,"Online Transfer to CHK ...9516 transaction#: 22845077934 11/26",-100.00,ACCT_XFER,5457.28,,
DEBIT,11/26/2024,"DD *DOORDASH MANEETHA 855-431-0459 CA        11/26",-26.13,DEBIT_CARD,5557.28,,
DEBIT,11/26/2024,"AMAZON MKTPL*Q44TL4S Amzn.com/bill WA        11/25",-128.38,DEBIT_CARD,5583.41,,
DEBIT,11/25/2024,"Online Transfer to CHK ...9516 transaction#: 22822820258 11/25",-600.00,ACCT_XFER,5711.79,,
DEBIT,11/25/2024,"APPLE.COM/BILL 866-712-7753 CA               11/25",-16.03,DEBIT_CARD,6311.79,,
DEBIT,11/25/2024,"AMAZON MKTPL*KF30L8Q Amzn.com/bill WA        11/24",-17.11,DEBIT_CARD,6327.82,,
DEBIT,11/25/2024,"NANCY'S HARDWARE & FEED MONROVIA IN          11/23",-15.04,DEBIT_CARD,6344.93,,
DEBIT,11/25/2024,"KROGER #921 530 S. IND MOORESVILLE IN309146  11/23",-13.41,DEBIT_CARD,6359.97,,
DEBIT,11/25/2024,"LOWE'S #1168 MOORESVILLE IN          518224  11/23",-104.84,DEBIT_CARD,6373.38,,
DEBIT,11/25/2024,"LOWE'S #1168 MOORESVILLE IN          924621  11/23",-41.00,DEBIT_CARD,6478.22,,
DEBIT,11/25/2024,"CRT LEXINGTON LAW 800-341-8441 UT            11/23",-139.95,DEBIT_CARD,6519.22,,
DEBIT,11/25/2024,"TYPOLOGY SAINT-OUEN                          11/23",-192.24,DEBIT_CARD,6659.17,,
