payee,date,amount,note,category,transaction_key,normalized_payee
PAYPAL           INST XFER  GOOGLE YOUTUBE  WEB ID: PAYPALSI77,2024-12-27,-22.99,p,Subscriptions & Memberships,PAYPAL           INST XFER  GOOGLE YOUTUBE  WEB ID: PAYPALSI77|2024-12-27 00:00:00|-22.99,GOOGLE YOUTUBE
PROG PALOVERDE   INS PREM   905147028 Krist WEB ID: 9409348039,2024-12-27,-393.64,p,Insurance,PROG PALOVERDE   INS PREM   905147028 Krist WEB ID: 9409348039|2024-12-27 00:00:00|-393.64,PROG PALOVERDE INS PREM 905147028 KRIST WEB ID: 9409348039
APPLE.COM/BILL 866-712-7753 CA               12/27,2024-12-27,-48.12,p,Technology & Software,APPLE.COM/BILL 866-712-7753 CA               12/27|2024-12-27 00:00:00|-48.12,APPLE.COM/BILL 866-712-7753 CA
Online Payment 22851642659 To Auto Loan 1101 12/27,2024-12-27,-2000.0,p,Loan Payment,Online Payment 22851642659 To Auto Loan 1101 12/27|2024-12-27 00:00:00|-2000.0,ONLINE PAYMENT 22851642659 TO AUTO LOAN 1101
Credit One Bank  Payment    53394349        WEB ID: WEB000004,2024-12-27,-10.65,p,Bank Fees & Charges,Credit One Bank  Payment    53394349        WEB ID: WEB000004|2024-12-27 00:00:00|-10.65,CREDIT ONE BANK PAYMENT 53394349 WEB ID: WEB000004
FLOW WATER USA FLOWHYDRATION VA              12/27,2024-12-27,-68.37,p,Office Supplies,FLOW WATER USA FLOWHYDRATION VA              12/27|2024-12-27 00:00:00|-68.37,FLOW WATER USA FLOWHYDRATION VA
IKEA 468367152 888-434-4532 MD               12/26,2024-12-27,-21.4,p,Office Supplies,IKEA 468367152 888-434-4532 MD               12/26|2024-12-27 00:00:00|-21.4,IKEA 468367152 888-434-4532 MD
GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101,2024-12-27,5190.14,p,Supplies,GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101|2024-12-27 00:00:00|5190.14,GRAINGER CORPORA DIRECT DEP PPD ID: 9111111101
SP ANDREWPETFLY STORE KORUMBURRA             12/25,2024-12-26,-136.0,this was a scam transaction and this money was stolen from me,Fraudulent Activity,SP ANDREWPETFLY STORE KORUMBURRA             12/25|2024-12-26 00:00:00|-136.0,SP ANDREWPETFLY STORE KORUMBURRA
SP JOHNMOUTAIN.STORE TURNER                  12/25,2024-12-26,-73.0,This was a scam transaction and this money was stolen from me,Fraudulent Transactions,SP JOHNMOUTAIN.STORE TURNER                  12/25|2024-12-26 00:00:00|-73.0,SP JOHNMOUTAIN.STORE TURNER
SP ANNECLOTHING STORE ILLAWONG               12/25,2024-12-26,-110.0,This was a scam transaction and this money was stolen from me,Fraudulent Charges,SP ANNECLOTHING STORE ILLAWONG               12/25|2024-12-26 00:00:00|-110.0,SP ANNECLOTHING STORE ILLAWONG
AMAZON MKTPL*Z98C68B Amzn.com/bill WA        12/24,2024-12-24,-68.44,p,Please provide a full description for accurate categorization.,AMAZON MKTPL*Z98C68B Amzn.com/bill WA        12/24|2024-12-24 00:00:00|-68.44,AMAZON MKTPL*Z98C68B AMZN.COM/BILL WA
AMAZON MKTPL*ZE2FI38 Amzn.com/bill WA        12/24,2024-12-24,-13.9,p,Office Supplies,AMAZON MKTPL*ZE2FI38 Amzn.com/bill WA        12/24|2024-12-24 00:00:00|-13.9,AMAZON MKTPL*ZE2FI38 AMZN.COM/BILL WA
AMZN Mktp US*Z91BH2Y Amzn.com/bill WA        12/23,2024-12-24,-96.29,p,Office Supplies,AMZN Mktp US*Z91BH2Y Amzn.com/bill WA        12/23|2024-12-24 00:00:00|-96.29,AMZN MKTP US*Z91BH2Y AMZN.COM/BILL WA
CRT LEXINGTON LAW 800-341-8441 UT            12/23,2024-12-24,-139.95,p,Professional Services,CRT LEXINGTON LAW 800-341-8441 UT            12/23|2024-12-24 00:00:00|-139.95,CRT LEXINGTON LAW 800-341-8441 UT
AffirmCard       564N AFFRM                 PPD ID: 1842224323,2024-12-23,-39.99,p,Please provide more details for an accurate category.,AffirmCard       564N AFFRM                 PPD ID: 1842224323|2024-12-23 00:00:00|-39.99,AFFIRMCARD 564N AFFRM PPD ID: 1842224323
PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77,2024-12-23,-18.99,p,Subscriptions & Dues,PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77|2024-12-23 00:00:00|-18.99,HULU
TACO BELL 3001016 SPEEDWAY IN                12/22,2024-12-23,-15.43,p,Meals & Entertainment,TACO BELL 3001016 SPEEDWAY IN                12/22|2024-12-23 00:00:00|-15.43,TACO BELL 3001016 SPEEDWAY IN
ACT*Carmel Clay Parks 317-8487275 IN         12/22,2024-12-23,-48.0,p,Refunds/Credits,ACT*Carmel Clay Parks 317-8487275 IN         12/22|2024-12-23 00:00:00|-48.0,ACT*CARMEL CLAY PARKS 317-8487275 IN
WEST CLAY WINE & SPIRIT CARMEL IN            12/21,2024-12-23,-160.48,p,Refunds/Credits,WEST CLAY WINE & SPIRIT CARMEL IN            12/21|2024-12-23 00:00:00|-160.48,WEST CLAY WINE & SPIRIT CARMEL IN
APPLE.COM/BILL 866-712-7753 CA               12/21,2024-12-23,-10.69,p,Software Subscription,APPLE.COM/BILL 866-712-7753 CA               12/21|2024-12-23 00:00:00|-10.69,APPLE.COM/BILL 866-712-7753 CA
ENDEAVOR COMMUNI TELE BILL                  PPD ID: 1350978228,2024-12-23,-79.99,p,Utilities,ENDEAVOR COMMUNI TELE BILL                  PPD ID: 1350978228|2024-12-23 00:00:00|-79.99,ENDEAVOR COMMUNI TELE BILL PPD ID: 1350978228
FSP*URBAN SOCIETY SALON CARMEL IN            12/20,2024-12-23,-262.21,p,Personal Care,FSP*URBAN SOCIETY SALON CARMEL IN            12/20|2024-12-23 00:00:00|-262.21,FSP*URBAN SOCIETY SALON CARMEL IN
DD *DOORDASH CAFEPATA 855-431-0459 CA        12/21,2024-12-23,-35.99,p,Meals & Entertainment,DD *DOORDASH CAFEPATA 855-431-0459 CA        12/21|2024-12-23 00:00:00|-35.99,DD *DOORDASH CAFEPATA 855-431-0459 CA
WHOLEFDS CRL 104 14598 CARMEL IN     052055  12/20,2024-12-20,-306.79,p,Supplies,WHOLEFDS CRL 104 14598 CARMEL IN     052055  12/20|2024-12-20 00:00:00|-306.79,WHOLEFDS CRL 104 14598 CARMEL IN 052055
WITHDRAWAL 12/20,2024-12-20,-2400.0,p,Uncategorized,WITHDRAWAL 12/20|2024-12-20 00:00:00|-2400.0,WITHDRAWAL
LOWE'S #1525 CARMEL IN               030429  12/20,2024-12-20,-159.43,p,Refunds/Credits,LOWE'S #1525 CARMEL IN               030429  12/20|2024-12-20 00:00:00|-159.43,LOWE'S #1525 CARMEL IN 030429
AffirmCard       564K AFFRM                 PPD ID: 1842224323,2024-12-20,-35.0,p,Uncategorized,AffirmCard       564K AFFRM                 PPD ID: 1842224323|2024-12-20 00:00:00|-35.0,AFFIRMCARD 564K AFFRM PPD ID: 1842224323
DD *DOORDASHDASHPASS WWW.DOORDASH. CA        12/20,2024-12-20,-96.0,p,Meals & Entertainment,DD *DOORDASHDASHPASS WWW.DOORDASH. CA        12/20|2024-12-20 00:00:00|-96.0,DD *DOORDASHDASHPASS WWW.DOORDASH. CA
Deere Credit Ser PAYMENTS   7900000931623JF WEB ID: 7935336000,2024-12-20,-642.55,p,Loan Payment,Deere Credit Ser PAYMENTS   7900000931623JF WEB ID: 7935336000|2024-12-20 00:00:00|-642.55,DEERE CREDIT SER PAYMENTS 7900000931623JF WEB ID: 7935336000
THE WEST WIND NAIL CARE CARMEL IN            12/19,2024-12-20,-78.75,p,Personal Expenses,THE WEST WIND NAIL CARE CARMEL IN            12/19|2024-12-20 00:00:00|-78.75,THE WEST WIND NAIL CARE CARMEL IN
MCDONALD'S F33737 MOORESVILLE IN             12/19,2024-12-20,-14.23,p,Meals & Entertainment,MCDONALD'S F33737 MOORESVILLE IN             12/19|2024-12-20 00:00:00|-14.23,MCDONALD'S F33737 MOORESVILLE IN
AMAZON MKTPL*Z91JZ0Z Amzn.com/bill WA        12/20,2024-12-20,-18.18,p,Refunds/Credits,AMAZON MKTPL*Z91JZ0Z Amzn.com/bill WA        12/20|2024-12-20 00:00:00|-18.18,AMAZON MKTPL*Z91JZ0Z AMZN.COM/BILL WA
AMAZON MKTPL*Z13IP62 Amzn.com/bill WA        12/19,2024-12-20,-47.08,p,Office Supplies,AMAZON MKTPL*Z13IP62 Amzn.com/bill WA        12/19|2024-12-20 00:00:00|-47.08,AMAZON MKTPL*Z13IP62 AMZN.COM/BILL WA
AMAZON MKTPL*Z96DG7J Amzn.com/bill WA        12/20,2024-12-20,-11.77,p,Unknown,AMAZON MKTPL*Z96DG7J Amzn.com/bill WA        12/20|2024-12-20 00:00:00|-11.77,AMAZON MKTPL*Z96DG7J AMZN.COM/BILL WA
Online Transfer from CHK ...9516 transaction#: 23120912866,2024-12-20,2000.0,p,Uncategorized,Online Transfer from CHK ...9516 transaction#: 23120912866|2024-12-20 00:00:00|2000.0,ONLINE TRANSFER FROM CHK ...9516 TRANSACTION#: 23120912866
ACTBLUE* MAD.DOG.PAC HTTPSSECURE.A MA        12/19,2024-12-19,-10.0,charitable contribution,Charitable Donations,ACTBLUE* MAD.DOG.PAC HTTPSSECURE.A MA        12/19|2024-12-19 00:00:00|-10.0,ACTBLUE* MAD.DOG.PAC HTTPSSECURE.A MA
CABELA'S ONLINE U.S. 417-873-5000 MO         12/18,2024-12-19,-149.79,p,Need More Information,CABELA'S ONLINE U.S. 417-873-5000 MO         12/18|2024-12-19 00:00:00|-149.79,CABELA'S ONLINE U.S. 417-873-5000 MO
ARAMARK IU NORTH COFFEE CARMEL IN            12/18,2024-12-19,-8.22,p,Meals & Entertainment,ARAMARK IU NORTH COFFEE CARMEL IN            12/18|2024-12-19 00:00:00|-8.22,ARAMARK IU NORTH COFFEE CARMEL IN
AMZN Mktp US*Z974G31 Amzn.com/bill WA        12/18,2024-12-19,-13.34,p,Office Supplies,AMZN Mktp US*Z974G31 Amzn.com/bill WA        12/18|2024-12-19 00:00:00|-13.34,AMZN MKTP US*Z974G31 AMZN.COM/BILL WA
"THRIFT BOOKS GLOBAL, LL 2532752241 WA        12/19",2024-12-19,-41.66,books for business research,Supplies & Materials,"THRIFT BOOKS GLOBAL, LL 2532752241 WA        12/19|2024-12-19 00:00:00|-41.66","THRIFT BOOKS GLOBAL, LL 2532752241 WA"
FARMER'S FRIDGE 3122290099 IL                12/18,2024-12-18,-19.45,p,Meals & Entertainment,FARMER'S FRIDGE 3122290099 IL                12/18|2024-12-18 00:00:00|-19.45,FARMER'S FRIDGE 3122290099 IL
SERVICE FINANCE  PAYMENTS                   PPD ID: 2201934942,2024-12-18,-200.0,p,Loan Payment,SERVICE FINANCE  PAYMENTS                   PPD ID: 2201934942|2024-12-18 00:00:00|-200.0,SERVICE FINANCE PAYMENTS PPD ID: 2201934942
AMAZON MKTPL*Z12ZP27 Amzn.com/bill WA        12/18,2024-12-18,-46.2,p,Office Supplies,AMAZON MKTPL*Z12ZP27 Amzn.com/bill WA        12/18|2024-12-18 00:00:00|-46.2,AMAZON MKTPL*Z12ZP27 AMZN.COM/BILL WA
TST*SAHMS ALE HOUSE VIL Fishers IN           12/17,2024-12-18,-37.08,p,Meals & Entertainment,TST*SAHMS ALE HOUSE VIL Fishers IN           12/17|2024-12-18 00:00:00|-37.08,TST*SAHMS ALE HOUSE VIL FISHERS IN
AMAZON MKTPL*Z15716X Amzn.com/bill WA        12/18,2024-12-18,-18.99,p,Please provide the full description or context for an accurate category assignment.,AMAZON MKTPL*Z15716X Amzn.com/bill WA        12/18|2024-12-18 00:00:00|-18.99,AMAZON MKTPL*Z15716X AMZN.COM/BILL WA
AMAZON MKTPL*Z11OD7X Amzn.com/bill WA        12/18,2024-12-18,-49.2,p,Purchase Returns/Credits,AMAZON MKTPL*Z11OD7X Amzn.com/bill WA        12/18|2024-12-18 00:00:00|-49.2,AMAZON MKTPL*Z11OD7X AMZN.COM/BILL WA
KOHL'S #1178 CARMEL IN                       12/17,2024-12-18,-138.73,p,Miscellaneous Expenses,KOHL'S #1178 CARMEL IN                       12/17|2024-12-18 00:00:00|-138.73,KOHL'S #1178 CARMEL IN
MCDONALD'S F2614 INDIANAPOLIS IN             12/17,2024-12-18,-12.19,p,Meals & Entertainment,MCDONALD'S F2614 INDIANAPOLIS IN             12/17|2024-12-18 00:00:00|-12.19,MCDONALD'S F2614 INDIANAPOLIS IN
AMAZON MKTPL*Z15ZT77 Amzn.com/bill WA        12/18,2024-12-18,-22.35,p,Please provide additional details for accurate categorization.,AMAZON MKTPL*Z15ZT77 Amzn.com/bill WA        12/18|2024-12-18 00:00:00|-22.35,AMAZON MKTPL*Z15ZT77 AMZN.COM/BILL WA
CHICK-FIL-A #04978 CARMEL IN                 12/16,2024-12-18,-23.96,p,Meals & Entertainment,CHICK-FIL-A #04978 CARMEL IN                 12/16|2024-12-18 00:00:00|-23.96,CHICK-FIL-A #04978 CARMEL IN
PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77,2024-12-17,-7.0,p,Travel,PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77|2024-12-17 00:00:00|-7.0,UBER
PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77,2024-12-17,-28.31,Personal expense,PERSONAL,PAYPAL           INST XFER  UBER            WEB ID: PAYPALSI77|2024-12-17 00:00:00|-28.31,UBER
PADDLE.NET* CLIPDROP PADDLE.COM NY           12/17,2024-12-17,-9.0,subscription to background removal website used to create ad creatives for business marketing,Software Subscriptions,PADDLE.NET* CLIPDROP PADDLE.COM NY           12/17|2024-12-17 00:00:00|-9.0,PADDLE.NET* CLIPDROP PADDLE.COM NY
TST*DANNY BOY BEER WORK Carmel IN            12/16,2024-12-17,-29.74,p,Meals & Entertainment,TST*DANNY BOY BEER WORK Carmel IN            12/16|2024-12-17 00:00:00|-29.74,TST*DANNY BOY BEER WORK CARMEL IN
UBER   *EATS HELP.UBER.COM CA                12/16,2024-12-17,-19.64,p,Meals & Entertainment,UBER   *EATS HELP.UBER.COM CA                12/16|2024-12-17 00:00:00|-19.64,UBER *EATS HELP.UBER.COM CA
WW Grainger Inc  EDI PYMNTS 2011552790      CTX ID: 3361150280,2024-12-17,1025.76,p,Supplies,WW Grainger Inc  EDI PYMNTS 2011552790      CTX ID: 3361150280|2024-12-17 00:00:00|1025.76,WW GRAINGER INC EDI PYMNTS 2011552790 CTX ID: 3361150280
AffirmCard       564G AFFRM                 PPD ID: 1842224323,2024-12-16,-85.0,p,Uncategorized,AffirmCard       564G AFFRM                 PPD ID: 1842224323|2024-12-16 00:00:00|-85.0,AFFIRMCARD 564G AFFRM PPD ID: 1842224323
Online Transfer to CHK ...9516 transaction#: 23069340717 12/16,2024-12-16,-13000.0,p,Unable to determine category based on provided information.,Online Transfer to CHK ...9516 transaction#: 23069340717 12/16|2024-12-16 00:00:00|-13000.0,ONLINE TRANSFER TO CHK ...9516 TRANSACTION#: 23069340717
Online Payment 22720351578 To Richard Crone 12/16,2024-12-16,-250.0,p,Professional Services,Online Payment 22720351578 To Richard Crone 12/16|2024-12-16 00:00:00|-250.0,ONLINE PAYMENT 22720351578 TO RICHARD CRONE
APPLE.COM/BILL 866-712-7753 CA               12/16,2024-12-16,-3.2,p,Subscriptions & Software,APPLE.COM/BILL 866-712-7753 CA               12/16|2024-12-16 00:00:00|-3.2,APPLE.COM/BILL 866-712-7753 CA
PAYPAL           INST XFER  GOOGLE GOOGLE O WEB ID: PAYPALSI77,2024-12-16,-9.99,p,Subscription Services,PAYPAL           INST XFER  GOOGLE GOOGLE O WEB ID: PAYPALSI77|2024-12-16 00:00:00|-9.99,GOOGLE GOOGLE O WEB ID: PAYPALSI77
PAYPAL           INST XFER  NETFLIX.COM     WEB ID: PAYPALSI77,2024-12-16,-22.99,p,Subscriptions & Memberships,PAYPAL           INST XFER  NETFLIX.COM     WEB ID: PAYPALSI77|2024-12-16 00:00:00|-22.99,NETFLIX.COM
APPLE.COM/BILL 866-712-7753 CA               12/16,2024-12-16,-26.74,p,Subscriptions & Software,APPLE.COM/BILL 866-712-7753 CA               12/16|2024-12-16 00:00:00|-26.74,APPLE.COM/BILL 866-712-7753 CA
SP DETAIL GEEK AUTO REGINA SK                12/15,2024-12-16,-110.0,p,Transportation,SP DETAIL GEEK AUTO REGINA SK                12/15|2024-12-16 00:00:00|-110.0,SP DETAIL GEEK AUTO REGINA SK
MCDONALD'S F2657 NOBLESVILLE IN              12/15,2024-12-16,-17.81,p,Meals & Entertainment,MCDONALD'S F2657 NOBLESVILLE IN              12/15|2024-12-16 00:00:00|-17.81,MCDONALD'S F2657 NOBLESVILLE IN
APPLE.COM/BILL 866-712-7753 CA               12/14,2024-12-16,-32.09,p,Technology & Software,APPLE.COM/BILL 866-712-7753 CA               12/14|2024-12-16 00:00:00|-32.09,APPLE.COM/BILL 866-712-7753 CA
CHICK-FIL-A #04978 CARMEL IN                 12/14,2024-12-16,-18.46,p,Meals & Entertainment,CHICK-FIL-A #04978 CARMEL IN                 12/14|2024-12-16 00:00:00|-18.46,CHICK-FIL-A #04978 CARMEL IN
STARBUCKS 800-782-728 800-782-7282 WA        12/14,2024-12-16,-20.0,p,Refunds & Reimbursements,STARBUCKS 800-782-728 800-782-7282 WA        12/14|2024-12-16 00:00:00|-20.0,STARBUCKS 800-782-728 800-782-7282 WA
SP PENDULUM THERAPEU HTTPSPENDULUM CA        12/14,2024-12-16,-71.69,p,Professional Services,SP PENDULUM THERAPEU HTTPSPENDULUM CA        12/14|2024-12-16 00:00:00|-71.69,SP PENDULUM THERAPEU HTTPSPENDULUM CA
DEPT EDUCATION   STUDENT LN                 PPD ID: 9102002505,2024-12-16,-1111.95,student loan payment,Personal Expense,DEPT EDUCATION   STUDENT LN                 PPD ID: 9102002505|2024-12-16 00:00:00|-1111.95,DEPT EDUCATION STUDENT LN PPD ID: 9102002505
ACT*Carmel Clay Parks 317-8487275 IN         12/14,2024-12-16,-32.0,p,Recreation & Community Services,ACT*Carmel Clay Parks 317-8487275 IN         12/14|2024-12-16 00:00:00|-32.0,ACT*CARMEL CLAY PARKS 317-8487275 IN
SQ *MY SUGAR PIE Zionsville IN               12/13,2024-12-16,-35.87,p,Meals & Entertainment,SQ *MY SUGAR PIE Zionsville IN               12/13|2024-12-16 00:00:00|-35.87,SQ *MY SUGAR PIE ZIONSVILLE IN
MAYO CLINIC DIET DIET.MAYOCLIN NY            12/13,2024-12-16,-19.99,p,Subscriptions & Memberships,MAYO CLINIC DIET DIET.MAYOCLIN NY            12/13|2024-12-16 00:00:00|-19.99,MAYO CLINIC DIET DIET.MAYOCLIN NY
ZING! CAFE  LLC CARMEL IN                    12/13,2024-12-16,-13.27,p,Meals & Entertainment,ZING! CAFE  LLC CARMEL IN                    12/13|2024-12-16 00:00:00|-13.27,ZING! CAFE LLC CARMEL IN
CHICK-FIL-A #04978 CARMEL IN                 12/13,2024-12-16,-15.63,p,Meals & Entertainment,CHICK-FIL-A #04978 CARMEL IN                 12/13|2024-12-16 00:00:00|-15.63,CHICK-FIL-A #04978 CARMEL IN
CHICK-FIL-A #04978 CARMEL IN                 12/12,2024-12-16,-13.18,p,Meals & Entertainment,CHICK-FIL-A #04978 CARMEL IN                 12/12|2024-12-16 00:00:00|-13.18,CHICK-FIL-A #04978 CARMEL IN
PAYPAL           TRANSFER                   PPD ID: PAYPALSD11,2024-12-16,1.18,p,Miscellaneous,PAYPAL           TRANSFER                   PPD ID: PAYPALSD11|2024-12-16 00:00:00|1.18,PPD ID: PAYPALSD11
Online Transfer to CHK ...9516 transaction#: 23043059987 12/13,2024-12-13,-1000.0,p,Miscellaneous,Online Transfer to CHK ...9516 transaction#: 23043059987 12/13|2024-12-13 00:00:00|-1000.0,ONLINE TRANSFER TO CHK ...9516 TRANSACTION#: 23043059987
TST*SAHMS ALE HOUSE VIL Fishers IN           12/12,2024-12-13,-23.59,p,Meals & Entertainment,TST*SAHMS ALE HOUSE VIL Fishers IN           12/12|2024-12-13 00:00:00|-23.59,TST*SAHMS ALE HOUSE VIL FISHERS IN
STARBUCKS 800-782-728 800-782-7282 WA        12/12,2024-12-13,-20.0,p,Refunds & Adjustments,STARBUCKS 800-782-728 800-782-7282 WA        12/12|2024-12-13 00:00:00|-20.0,STARBUCKS 800-782-728 800-782-7282 WA
CHICK-FIL-A #04978 CARMEL IN                 12/11,2024-12-13,-10.02,p,Meals & Entertainment,CHICK-FIL-A #04978 CARMEL IN                 12/11|2024-12-13 00:00:00|-10.02,CHICK-FIL-A #04978 CARMEL IN
GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101,2024-12-13,5190.14,Personal expense,PERSONAL,GRAINGER CORPORA DIRECT DEP                 PPD ID: 9111111101|2024-12-13 00:00:00|5190.14,GRAINGER CORPORA DIRECT DEP PPD ID: 9111111101
OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA        12/12,2024-12-12,-20.0,subscription to chatgpt for business use.,Software Subscriptions,OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA        12/12|2024-12-12 00:00:00|-20.0,OPENAI *CHATGPT SUBS HTTPSOPENAI.C CA
