Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
CREDIT,12/02/2024,"Online Transfer from CHK ...8871 transaction#: 22914592281",500.00,ACCT_XFER,494.54,,
DEBIT,11/29/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,-5.46,,
DEBIT,11/29/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        11/28",-69.99,DEBIT_CARD,9.54,,
DEBIT,11/27/2024,"FIGMA MONTHLY RENEWAL FIGMA.COM CA           11/27",-30.00,DEBIT_CARD,79.53,,
DEBIT,11/27/2024,"BRYAN ELLIS DOCSTER.IO IN                    11/26",-420.00,DEBIT_CARD,109.53,,
DEBIT,11/27/2024,"DRIBBBLE DRIBBBLE.COM MA                     11/26",-150.00,DEBIT_CARD,529.53,,
CREDIT,11/27/2024,"Online Transfer from CHK ...8871 transaction#: 22858209263",20.00,ACCT_XFER,679.53,,
CREDIT,11/26/2024,"Online Transfer from CHK ...8871 transaction#: 22845077934",100.00,ACCT_XFER,659.53,,
DEBIT,11/25/2024,"ATT*BILL PAYMENT 800-288-2020 TX             11/24",-167.79,DEBIT_CARD,559.53,,
CREDIT,11/25/2024,"Online Transfer from CHK ...8871 transaction#: 22822820258",600.00,ACCT_XFER,727.32,,
DEBIT,11/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 DE           11/21",-5.00,DEBIT_CARD,127.32,,
DEBIT,11/20/2024,"Regus Management Group iwgplc.com TX         11/19",-637.13,DEBIT_CARD,132.32,,
CREDIT,11/19/2024,"Online Transfer from CHK ...8871 transaction#: 22766531417",600.00,ACCT_XFER,769.45,,
DEBIT,11/14/2024,"MICROSOFT*MICROSOFT HTTPSWWW.MICR WA         11/14",-7.48,DEBIT_CARD,169.45,,
DEBIT,11/12/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        11/10",-64.19,DEBIT_CARD,176.93,,
DEBIT,11/06/2024,"Zelle payment to Drew Fowler JPM99aqq2dok",-180.00,CHASE_TO_PARTNERFI,241.12,,
CREDIT,11/06/2024,"Online Transfer from CHK ...8871 transaction#: 22630459663",200.00,ACCT_XFER,421.12,,
DEBIT,11/05/2024,"BRYAN ELLIS DOCSTER.IO IN                    11/04",-350.00,DEBIT_CARD,221.12,,
CREDIT,11/04/2024,"Online Transfer from CHK ...8871 transaction#: 22607754761",500.00,ACCT_XFER,571.12,,
DEBIT,10/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,71.12,,
DEBIT,10/31/2024,"GOOGLE *Play g.co/helppay# CA                10/31",-25.00,DEBIT_CARD,86.12,,
DEBIT,10/31/2024,"AMZN Digital*K67VZ1R2 888-802-3080 WA        10/30",-16.99,DEBIT_CARD,111.12,,
CREDIT,10/31/2024,"ORIG CO NAME:GOOGLE                 ORIG ID:2203699496 DESC DATE:       CO ENTRY DESCR:ACCTVERIFYSEC:PPD    TRACE#:091000019930017 EED:241031   IND ID:                             IND NAME:Day in the Country, LL TRN: 3059930017TC",0.22,ACH_CREDIT,128.11,,
DEBIT,10/29/2024,"BRYAN ELLIS DOCSTER.IO IN                    10/28",-350.00,DEBIT_CARD,127.89,,
DEBIT,10/28/2024,"DRIBBBLE HTTPSDRIBBBLE MA                    10/27",-150.00,DEBIT_CARD,477.89,,
DEBIT,10/28/2024,"FIGMA MONTHLY RENEWA HTTPSWWW.FIGM CA        10/27",-30.00,DEBIT_CARD,627.89,,
DEBIT,10/28/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        10/28",-69.99,DEBIT_CARD,657.89,,
CREDIT,10/28/2024,"Online Transfer from CHK ...8871 transaction#: 22521597869",200.00,ACCT_XFER,727.88,,
CREDIT,10/28/2024,"Online Transfer from CHK ...8871 transaction#: 22520578380",500.00,ACCT_XFER,527.88,,
DEBIT,10/25/2024,"Zelle payment to Drew Fowler JPM99aq09fw3",-100.00,CHASE_TO_PARTNERFI,27.88,,
DEBIT,10/25/2024,"ATT*BILL PAYMENT 800-288-2020 TX             10/24",-117.79,DEBIT_CARD,127.88,,
DEBIT,10/23/2024,"Regus Management Group iwgplc.com TX         10/22",-607.43,DEBIT_CARD,245.67,,
DEBIT,10/23/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 10/22",-700.00,DEBIT_CARD,853.10,,
CREDIT,10/23/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,1553.10,,
DEBIT,10/22/2024,"Zelle payment to Drew Fowler JPM99aptoo7d",-180.00,CHASE_TO_PARTNERFI,1538.10,,
DEBIT,10/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           10/21",-5.00,DEBIT_CARD,1718.10,,
CREDIT,10/22/2024,"Online Transfer from CHK ...8871 transaction#: 22460305433",700.00,ACCT_XFER,1723.10,,
DEBIT,10/17/2024,"PAUL WATHOME PAULWATHOME.C IN                10/16",-35.00,DEBIT_CARD,1023.10,,
DEBIT,10/15/2024,"Microsoft*Microsoft 36 425-6816830 WA        10/14",-7.48,DEBIT_CARD,1058.10,,
DEBIT,10/15/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 10/12",-910.00,DEBIT_CARD,1065.58,,
CREDIT,10/15/2024,"Online Transfer from CHK ...8871 transaction#: 22361050346",1000.00,ACCT_XFER,1975.58,,
DEBIT,10/11/2024,"DUN& BRADSTREET ONLIN 800-892-2980 CA        10/10",-229.00,DEBIT_CARD,975.58,,
DEBIT,10/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        10/10",-64.19,DEBIT_CARD,1204.58,,
DEBIT,10/07/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 10/04",-1050.00,DEBIT_CARD,1268.77,,
DSLIP,10/07/2024,"REMOTE ONLINE DEPOSIT #          1",665.00,CHECK_DEPOSIT,2318.77,1,
CREDIT,10/04/2024,"Online Transfer from CHK ...8871 transaction#: 22278409144",1100.00,ACCT_XFER,1653.77,,
DEBIT,10/03/2024,"AT&T   *PAYMENT 800-288-2020 TX              10/02",-200.00,DEBIT_CARD,553.77,,
DEBIT,10/01/2024,"AMAZON MKTPL*CD1SI2J Amzn.com/bill WA        10/01",-56.16,DEBIT_CARD,753.77,,
DEBIT,10/01/2024,"AMZN Digital*GM3C83WE 888-802-3080 WA        09/30",-16.99,DEBIT_CARD,809.93,,
DEBIT,09/30/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,826.92,,
DEBIT,09/30/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 09/29",-1190.00,DEBIT_CARD,841.92,,
DEBIT,09/30/2024,"DRIBBBLE HTTPSDRIBBBLE MA                    09/27",-150.00,DEBIT_CARD,2031.92,,
DEBIT,09/30/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        09/28",-69.99,DEBIT_CARD,2181.92,,
CREDIT,09/30/2024,"Online Transfer from CHK ...8871 transaction#: 22208785043",1200.00,ACCT_XFER,2251.91,,
DEBIT,09/27/2024,"FIGMA MONTHLY RENEWA HTTPSWWW.FIGM CA        09/27",-30.00,DEBIT_CARD,1051.91,,
CREDIT,09/27/2024,"Online Transfer from CHK ...8871 transaction#: 22190527346",1000.00,ACCT_XFER,1081.91,,
CREDIT,09/25/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,81.91,,
DEBIT,09/24/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 09/23",-1050.00,DEBIT_CARD,66.91,,
DEBIT,09/23/2024,"Zelle payment to Clay Rebber JPM99ao4v9h9",-500.00,CHASE_TO_PARTNERFI,1116.91,,
DEBIT,09/23/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           09/21",-5.00,DEBIT_CARD,1616.91,,
DEBIT,09/20/2024,"Regus Management Group iwgplc.com TX         09/19",-607.43,DEBIT_CARD,1621.91,,
DEBIT,09/17/2024,"Zelle payment to Clay Rebber JPM99anu390d",-7500.00,CHASE_TO_PARTNERFI,2229.34,,
CREDIT,09/17/2024,"Online Transfer from CHK ...8871 transaction#: 22084731205",8000.00,ACCT_XFER,9729.34,,
DEBIT,09/16/2024,"ORIG CO NAME:Bryan Ellis            ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:Bryan ElliSEC:WEB    TRACE#:091000018185518 EED:240916   IND ID:ST-W4K4W4R4J7A8              IND NAME:KRISTIN DAY TRN: 2608185518TC",-1400.00,MISC_DEBIT,1729.34,,
DEBIT,09/16/2024,"WWW.ARTLIST.IO 052-572-9372 DE               09/15",-119.88,DEBIT_CARD,3129.34,,
DEBIT,09/16/2024,"ADORAMA INC. 800-223-2500 NY                 09/16",-1153.32,DEBIT_CARD,3249.22,,
DEBIT,09/16/2024,"Microsoft*Microsoft 36 425-6816830 WA        09/14",-7.48,DEBIT_CARD,4402.54,,
DEBIT,09/12/2024,"BRYAN ELLIS HTTPSDOCSTER. IN                 09/11",-1400.00,DEBIT_CARD,4410.02,,
DEBIT,09/11/2024,"WRIST-BAND.COM 877-536-8500 TX               09/11",-127.99,DEBIT_CARD,5810.02,,
DEBIT,09/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        09/10",-64.19,DEBIT_CARD,5938.01,,
DEBIT,09/06/2024,"UDEMY: ONLINE COURSE HTTPSWWW.UDEM CA        09/05",-19.99,DEBIT_CARD,6002.20,,
DEBIT,09/05/2024,"UDEMY: ONLINE COURSE HTTPSWWW.UDEM CA        09/05",-52.97,DEBIT_CARD,6022.19,,
DEBIT,09/03/2024,"DNH*GODADDY#3274179638 480-5058855 AZ        09/01",-44.34,DEBIT_CARD,6075.16,,
DSLIP,09/03/2024,"REMOTE ONLINE DEPOSIT #          1",1810.00,CHECK_DEPOSIT,6119.50,1,
DEBIT,08/30/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,4309.50,,
DEBIT,08/29/2024,"DRIBBBLE HTTPSDRIBBBLE MA                    08/28",-150.00,DEBIT_CARD,4324.50,,
DEBIT,08/28/2024,"ORIG CO NAME:Bryan Ellis            ORIG ID:4270465600 DESC DATE:       CO ENTRY DESCR:Bryan ElliSEC:WEB    TRACE#:111000023210402 EED:240828   IND ID:ST-W7W0J5G0E9V8              IND NAME:KRISTIN DAY TRN: 2413210402TC",-1400.00,MISC_DEBIT,4474.50,,
CREDIT,08/28/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,5874.50,,
DEBIT,08/27/2024,"FIGMA MONTHLY RENEWA HTTPSWWW.FIGM CA        08/27",-15.00,DEBIT_CARD,5859.50,,
DEBIT,08/27/2024,"ADOBE  *800-833-6687 800-833-6687 CA         08/27",-69.99,DEBIT_CARD,5874.50,,
CREDIT,08/27/2024,"Online Transfer from CHK ...8871 transaction#: 21855891555",5300.00,ACCT_XFER,5944.49,,
DEBIT,08/26/2024,"INDIANAPOLIS AIRPORT INDIANAPOLIS IN         08/25",-108.00,DEBIT_CARD,644.49,,
DEBIT,08/26/2024,"UA INFLT    01644286616 HOUSTON TX           08/25",-21.99,DEBIT_CARD,752.49,,
DEBIT,08/22/2024,"UA INFLT    01644278128 HOUSTON TX           08/21",-8.00,DEBIT_CARD,774.48,,
DEBIT,08/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           08/21",-5.00,DEBIT_CARD,782.48,,
DEBIT,08/20/2024,"Regus Management Group iwgplc.com TX         08/19",-610.64,DEBIT_CARD,787.48,,
CREDIT,08/19/2024,"Online Transfer from CHK ...8871 transaction#: 21775337780",1000.00,ACCT_XFER,1398.12,,
DEBIT,08/14/2024,"Microsoft*Microsoft 36 425-6816830 WA        08/14",-7.48,DEBIT_CARD,398.12,,
DEBIT,08/12/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        08/10",-64.19,DEBIT_CARD,405.60,,
DEBIT,08/09/2024,"USPS CHANGE OF ADDRES 800-238-3150 TN        08/08",-1.10,DEBIT_CARD,469.79,,
DEBIT,08/05/2024,"CURB CHI TAXI QUEENS NY                      08/02",-9.75,DEBIT_CARD,470.89,,
DEBIT,08/02/2024,"Zelle payment to Clay Rebber JPM99alc1vt2",-1000.00,CHASE_TO_PARTNERFI,480.64,,
DEBIT,08/02/2024,"SQ *SKYWAY CONCESSION C Chicago IL           08/01",-7.20,DEBIT_CARD,1480.64,,
DEBIT,08/02/2024,"ITR CONCESSION COMPANY ELKHART IN            08/01",-1.80,DEBIT_CARD,1487.84,,
DEBIT,08/01/2024,"Zelle payment to Clay Rebber JPM99al86rmf",-5000.00,CHASE_TO_PARTNERFI,1489.64,,
DEBIT,08/01/2024,"FACEBK *CWZYQ7UTG2 650-5434800 CA            08/01",-42.29,DEBIT_CARD,6489.64,,
CREDIT,08/01/2024,"Online Transfer from CHK ...8871 transaction#: 21585663050",6500.00,ACCT_XFER,6531.93,,
DEBIT,07/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,31.93,,
DEBIT,07/25/2024,"Online Transfer to CHK ...8871 transaction#: 21512295039 07/25",-250.00,ACCT_XFER,46.93,,
DSLIP,07/23/2024,"REMOTE ONLINE DEPOSIT #          1",210.00,CHECK_DEPOSIT,296.93,1,
DEBIT,07/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           07/21",-5.00,DEBIT_CARD,86.93,,
DEBIT,07/15/2024,"Regus Management Group iwgplc.com TX         07/15",-391.89,DEBIT_CARD,91.93,,
DEBIT,07/15/2024,"Microsoft*Microsoft 36 425-6816830 WA        07/14",-7.48,DEBIT_CARD,483.82,,
CREDIT,07/15/2024,"Online Transfer from CHK ...8871 transaction#: 21413024324",400.00,ACCT_XFER,491.30,,
DEBIT,07/12/2024,"Regus Management Group iwgplc.com TX         07/11",-1206.80,DEBIT_CARD,91.30,,
DEBIT,07/11/2024,"Regus Management Group iwgplc.com TX         07/10",-64.20,DEBIT_CARD,1298.10,,
DEBIT,07/11/2024,"DNH*GODADDY#3183170245 480-5058855 AZ        07/10",-47.99,DEBIT_CARD,1362.30,,
DEBIT,07/10/2024,"DNH*GODADDY#3181470256 480-5058855 AZ        07/09",-44.34,DEBIT_CARD,1410.29,,
DEBIT,07/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        07/10",-64.19,DEBIT_CARD,1454.63,,
CREDIT,07/10/2024,"Online Transfer from CHK ...8871 transaction#: 21364799223",800.00,ACCT_XFER,1518.82,,
DEBIT,07/08/2024,"Zelle payment to Josette 21336433645",-150.00,QUICKPAY_DEBIT,718.82,,
CREDIT,07/08/2024,"ORIG CO NAME:STRIPE                 ORIG ID:1800948598 DESC DATE:       CO ENTRY DESCR:TRANSFER  SEC:CCD    TRACE#:091000015013263 EED:240708   IND ID:ST-B4C7X2D0J1D5              IND NAME:KRISTIN DAY TRN: 1905013263TC",96.80,MISC_CREDIT,868.82,,
DEBIT,07/03/2024,"FACEBK *V5GFB6GTG2 650-5434800 CA            07/03",-50.00,DEBIT_CARD,772.02,,
DEBIT,06/28/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,822.02,,
DEBIT,06/26/2024,"Online Transfer to CHK ...8871 transaction#: 21214689455 06/26",-500.00,ACCT_XFER,837.02,,
DEBIT,06/24/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           06/21",-5.00,DEBIT_CARD,1337.02,,
DSLIP,06/24/2024,"REMOTE ONLINE DEPOSIT #          1",1000.00,CHECK_DEPOSIT,1342.02,1,
DEBIT,06/21/2024,"Online Transfer to CHK ...8871 transaction#: 21161760462 06/21",-1500.00,ACCT_XFER,342.02,,
CREDIT,06/21/2024,"Refund of Monthly Service Fee charged on 11/30/2021",15.00,REFUND_TRANSACTION,1842.02,,
CREDIT,06/21/2024,"Refund of Monthly Service Fee charged on 02/28/2022",15.00,REFUND_TRANSACTION,1827.02,,
CREDIT,06/21/2024,"Refund of Monthly Service Fee charged on 03/31/2023",15.00,REFUND_TRANSACTION,1812.02,,
CREDIT,06/21/2024,"Refund of Monthly Service Fee charged on 01/31/2022",15.00,REFUND_TRANSACTION,1797.02,,
CREDIT,06/21/2024,"Refund of Monthly Service Fee charged on 12/31/2021",15.00,REFUND_TRANSACTION,1782.02,,
DEBIT,06/17/2024,"Online Transfer to GMR ...3018 transaction#: 21106333488 06/17",-20.00,ACCT_XFER,1767.02,,
DEBIT,06/14/2024,"MICROSOFT REDMON WA                  803702  06/14",-7.48,DEBIT_CARD,1787.02,,
DEBIT,06/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        06/10",-64.19,DEBIT_CARD,1794.50,,
DEBIT,06/05/2024,"CRICUT WWW.CRICUT.CO UT                      06/05",-102.59,DEBIT_CARD,1858.69,,
DEBIT,05/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,1961.28,,
DSLIP,05/31/2024,"REMOTE ONLINE DEPOSIT #          1",1940.00,CHECK_DEPOSIT,1976.28,1,
DEBIT,05/28/2024,"DNH*GODADDY.COM 480-5058855 AZ               05/26",-92.16,DEBIT_CARD,36.28,,
CREDIT,05/28/2024,"Online Transfer from CHK ...8871 transaction#: 20896343657",100.00,ACCT_XFER,128.44,,
DEBIT,05/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           05/21",-5.00,DEBIT_CARD,28.44,,
DEBIT,05/21/2024,"DNH*GODADDY.COM 480-5058855 AZ               05/20",-125.32,DEBIT_CARD,33.44,,
CREDIT,05/20/2024,"Online Transfer from CHK ...8871 transaction#: 20836011764",100.00,ACCT_XFER,158.76,,
DEBIT,05/14/2024,"NNT MICROSOFT*MICRO281 MSBILL.INFO WA640233  05/14",-7.48,DEBIT_CARD,58.76,,
DEBIT,05/13/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        05/11",-64.19,DEBIT_CARD,66.24,,
CREDIT,05/10/2024,"Online Transfer from CHK ...8871 transaction#: 20743414366",100.00,ACCT_XFER,130.43,,
DEBIT,05/06/2024,"ORIG CO NAME:GO DADDY               ORIG ID:1210002031 DESC DATE:240505 CO ENTRY DESCR:WEB ORDER SEC:CCD    TRACE#:091000014008235 EED:240506   IND ID:3175509694                   IND NAME:Day                                                                                                          WEB PURCHASE TRN: 1274008235TC",-47.99,ACH_DEBIT,30.43,,
DEBIT,04/30/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,78.42,,
DEBIT,04/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           04/21",-5.00,DEBIT_CARD,93.42,,
DEBIT,04/15/2024,"MICROSOFT REDMOND WA                 047258  04/14",-7.48,DEBIT_CARD,98.42,,
DEBIT,04/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        04/10",-64.19,DEBIT_CARD,105.90,,
CREDIT,04/09/2024,"Online Transfer from CHK ...8871 transaction#: 20414210890",100.00,ACCT_XFER,170.09,,
DEBIT,03/29/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,70.09,,
DEBIT,03/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           03/21",-5.00,DEBIT_CARD,85.09,,
DEBIT,03/13/2024,"NNT MICROSOFT*MICRO760 MSBILL.INFO WA125429  03/14",-7.48,DEBIT_CARD,90.09,,
DEBIT,03/11/2024,"ADOBE  *800-833-6687 800-833-6687 CA         03/10",-58.84,DEBIT_CARD,97.57,,
CREDIT,03/11/2024,"Online Transfer from CHK ...8871 transaction#: 20110123425",100.00,ACCT_XFER,156.41,,
DEBIT,02/29/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,56.41,,
DEBIT,02/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           02/21",-5.00,DEBIT_CARD,71.41,,
DEBIT,02/14/2024,"Microsoft*Microsoft 36 425-6816830 WA        02/14",-7.48,DEBIT_CARD,76.41,,
DEBIT,02/12/2024,"ADOBE  *800-833-6687 800-833-6687 CA         02/10",-58.84,DEBIT_CARD,83.89,,
CREDIT,02/09/2024,"Online Transfer from CHK ...8871 transaction#: 19823474511",100.00,ACCT_XFER,142.73,,
DEBIT,01/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,42.73,,
DEBIT,01/22/2024,"PAYPAL *MEDIUM.COM 402-935-7733 CA           01/21",-5.00,DEBIT_CARD,57.73,,
DEBIT,01/16/2024,"Microsoft*Microsoft 36 425-6816830 WA        01/14",-7.48,DEBIT_CARD,62.73,,
CREDIT,01/16/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,70.21,,
CREDIT,01/16/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,55.21,,
CREDIT,01/11/2024,"SERVICE FEE REVERSAL",15.00,REFUND_TRANSACTION,40.21,,
DEBIT,01/10/2024,"ADOBE  *800-833-6687 ADOBE.LY/ENUS CA        01/10",-58.84,DEBIT_CARD,25.21,,
CREDIT,01/09/2024,"Online Transfer from CHK ...8871 transaction#: 19531962760",75.00,ACCT_XFER,84.05,,
DEBIT,01/03/2024,"SPARK DUBLIN                                 01/02",-97.96,DEBIT_CARD,9.05,,
CREDIT,01/02/2024,"Online Transfer from CHK ...8871 transaction#: 19461953303",20.00,ACCT_XFER,107.01,,
CREDIT,01/02/2024,"Online Transfer from CHK ...8871 transaction#: 19438618717",100.00,ACCT_XFER,87.01,,
